,countyFIPS,County Name,State_x,population,Male,Female,Under 18 years,18 years and over,65 years and over
568,40125,Pottawatomie County,OK,72592,"35,220","38,313","16,861","56,672","12,493"
569,40131,Rogers County,OK,92459,"49,724","49,112","22,583","76,253","16,981"
570,40143,Tulsa County,OK,651552,"332,862","344,496","167,055","510,303","104,580"
571,40145,Wagoner County,OK,81289,"43,233","43,411","20,146","66,498","15,096"
572,41003,Benton County,OR,93053,"49,373","48,257","14,717","82,913","17,510"
573,41005,Clackamas County,OR,418187,"210,881","212,296","87,173","336,004","84,463"
574,41017,Deschutes County,OR,197692,"102,618","103,931","38,713","167,836","44,477"
575,41019,Douglas County,OR,110980,"56,515","55,782","21,230","91,067","29,969"
576,41029,Jackson County,OR,220944,"108,857","112,787","44,693","176,951","51,843"
577,41033,Josephine County,OR,87487,"43,040","44,690","16,137","71,593","24,034"
578,41035,Klamath County,OR,68238,"35,761","34,451","14,771","55,441","15,384"
579,41039,Lane County,OR,382067,"189,330","193,023","66,028","316,325","81,354"
580,41043,Linn County,OR,129749,"65,422","65,045","28,527","101,940","25,786"
581,41047,Marion County,OR,347818,"175,175","171,528","81,029","265,674","58,746"
582,41051,Multnomah County,OR,812855,"395,801","399,282","138,095","656,988","119,503"
583,41053,Polk County,OR,86085,"43,783","45,831","19,175","70,439","17,340"
584,41059,Umatilla County,OR,77950,"42,379","37,836","19,456","60,759","13,802"
585,41067,Washington County,OR,601592,"299,993","300,183","127,461","472,715","89,904"
586,41071,Yamhill County,OR,107100,"54,890","53,336","22,498","85,728","20,471"
587,42001,Adams County,PA,103009,"53,084","52,943","20,085","85,942","23,113"
588,42003,Allegheny County,PA,1216045,"602,672","630,581","226,309","1,006,944","251,083"
589,42005,Armstrong County,PA,64735,"32,619","32,128","12,208","52,539","15,484"
590,42007,Beaver County,PA,163929,"80,804","84,873","31,594","134,083","38,044"
591,42011,Berks County,PA,421164,"214,645","215,804","93,761","336,688","78,074"
592,42013,Blair County,PA,121829,"59,531","61,501","23,677","97,355","26,707"
593,42017,Bucks County,PA,628270,"318,964","326,090","126,780","518,274","132,739"
594,42019,Butler County,PA,187853,"98,329","98,971","37,265","160,035","41,160"
595,42021,Cambria County,PA,130192,"65,615","65,826","25,010","106,431","31,915"
596,42025,Carbon County,PA,64182,"33,064","32,396","12,364","53,096","15,236"
597,42027,Centre County,PA,162385,"82,820","75,605","22,715","135,710","25,583"
598,42029,Chester County,PA,524989,"271,309","274,514","118,766","427,057","97,204"
599,42033,Clearfield County,PA,79255,"40,384","37,520","14,278","63,626","17,579"
600,42039,Crawford County,PA,84629,"41,083","41,587","16,528","66,142","18,752"
601,42041,Cumberland County,PA,253370,"132,635","135,944","54,356","214,223","51,168"
602,42043,Dauphin County,PA,278299,"141,602","147,198","63,740","225,060","53,028"
603,42045,Delaware County,PA,566747,"278,828","296,354","125,169","450,013","101,288"
604,42049,Erie County,PA,269728,"133,184","134,505","55,075","212,614","52,621"
605,42051,Fayette County,PA,129274,"62,928","62,827","24,038","101,717","28,548"
606,42055,Franklin County,PA,155027,"78,235","78,667","33,728","123,174","32,193"
607,42063,Indiana County,PA,84073,"41,575","41,382","14,794","68,163","17,426"
608,42069,Lackawanna County,PA,209674,"106,830","108,785","43,802","171,813","43,885"
609,42071,Lancaster County,PA,545724,"274,175","282,454","127,269","429,360","110,036"
610,42073,Lawrence County,PA,85512,"41,181","43,668","16,832","68,017","19,781"
611,42075,Lebanon County,PA,141793,"70,109","73,902","32,246","111,765","29,463"
612,42077,Lehigh County,PA,369318,"185,977","190,340","83,946","292,371","64,951"
613,42079,Luzerne County,PA,317417,"163,252","163,117","65,849","260,520","65,695"
614,42081,Lycoming County,PA,113299,"55,308","57,796","23,126","89,978","23,366"
615,42085,Mercer County,PA,109424,"53,792","55,428","20,335","88,885","25,113"
616,42089,Monroe County,PA,170271,"82,555","84,643","31,735","135,463","32,578"
617,42091,Montgomery County,PA,830915,"424,391","440,292","181,250","683,433","164,371"
618,42095,Northampton County,PA,305285,"157,368","161,158","60,315","258,211","64,444"
619,42097,Northumberland County,PA,90843,"46,353","43,780","16,816","73,317","20,074"
620,42101,Philadelphia County,PA,1584064,"743,296","823,962","330,266","1,236,992","230,682"
621,42107,Schuylkill County,PA,141359,"74,168","68,936","28,119","114,985","30,406"
622,42111,Somerset County,PA,73447,"37,976","34,734","13,449","59,261","17,573"
623,42125,Washington County,PA,206865,"103,921","106,462","40,707","169,676","46,593"
624,42129,Westmoreland County,PA,348899,"174,186","177,871","63,153","288,904","86,332"
625,42133,York County,PA,449058,"229,460","231,598","99,536","361,522","86,739"
626,44003,Kent County,RI,164292,"84,133","87,142","30,727","140,548","34,937"
627,44005,Newport County,RI,82082,"41,629","42,852","13,179","71,302","21,442"
628,44007,Providence County,RI,638931,"322,864","334,424","131,144","526,144","108,329"
629,44009,Washington County,RI,125577,"63,330","67,000","19,641","110,689","30,807"
630,45003,Aiken County,SC,170872,"84,293","89,857","36,459","137,691","37,041"
631,45007,Anderson County,SC,202558,"101,362","108,219","46,844","162,737","39,263"
632,45013,Beaufort County,SC,192122,"95,662","100,709","33,697","162,674","55,980"
633,45015,Berkeley County,SC,227907,"122,077","123,040","57,151","187,966","36,789"
634,45019,Charleston County,SC,411406,"203,572","215,707","79,999","339,280","76,165"
635,45035,Dorchester County,SC,162809,"83,148","82,985","39,454","126,679","25,794"
636,45041,Florence County,SC,138293,"64,820","71,901","31,983","104,738","24,716"
637,45045,Greenville County,SC,523542,"267,856","280,094","124,178","423,772","93,196"
638,45047,Greenwood County,SC,70811,"32,014","37,253","15,212","54,055","14,434"
639,45051,Horry County,SC,354081,"184,146","198,955","64,188","318,913","101,673"
640,45055,Kershaw County,SC,66551,"32,901","34,850","15,256","52,495","12,766"
641,45057,Lancaster County,SC,98012,"50,252","54,325","22,423","82,154","22,877"
642,45059,Laurens County,SC,67493,"33,720","34,245","13,963","54,002","13,528"
643,45063,Lexington County,SC,298750,"148,557","156,240","68,860","235,937","52,883"
644,45073,Oconee County,SC,79546,"40,018","40,162","14,982","65,198","19,769"
645,45075,Orangeburg County,SC,86175,"39,253","43,841","17,839","65,255","17,377"
646,45077,Pickens County,SC,126884,"67,162","66,300","24,424","109,038","23,266"
647,45079,Richland County,SC,415759,"202,777","218,789","89,258","332,308","59,738"
648,45083,Spartanburg County,SC,319785,"168,981","176,850","79,662","266,169","57,148"
649,45085,Sumter County,SC,106721,"50,749","53,263","23,941","80,071","18,338"
650,45091,York County,SC,280979,"143,210","151,038","68,657","225,591","46,787"
651,46083,Lincoln County,SD,61128,"35,202","35,785","19,140","51,847","11,080"
652,46099,Minnehaha County,SD,193134,"104,723","99,248","51,282","152,689","28,434"
653,46103,Pennington County,SD,113775,"58,162","56,299","25,061","89,400","22,794"
654,47001,Anderson County,TN,76978,"39,237","39,676","16,512","62,401","15,491"
655,47009,Blount County,TN,133088,"68,650","71,308","27,674","112,284","29,825"
656,47011,Bradley County,TN,108110,"53,527","57,089","23,819","86,797","19,326"
657,47037,Davidson County,TN,694144,"341,794","366,350","140,539","567,605","94,485"
658,47059,Greene County,TN,69069,"35,669","35,736","13,354","58,051","15,708"
659,47063,Hamblen County,TN,64934,"32,662","32,506","14,621","50,547","11,463"
660,47065,Hamilton County,TN,367804,"182,132","192,550","77,526","297,156","69,587"
661,47093,Knox County,TN,470313,"242,250","252,324","101,703","392,871","81,398"
662,47113,Madison County,TN,97984,"46,893","52,352","21,971","77,274","18,055"
663,47119,Maury County,TN,96387,"53,831","54,328","24,240","83,919","18,549"
664,47125,Montgomery County,TN,208993,"118,415","116,786","62,178","173,023","23,179"
665,47141,Putnam County,TN,80245,"40,616","41,766","17,058","65,324","14,322"
666,47147,Robertson County,TN,71813,"37,439","38,031","17,780","57,690","11,636"
667,47149,Rutherford County,TN,332285,"179,112","181,507","87,161","273,458","40,993"
668,47155,Sevier County,TN,98250,"48,742","50,047","19,865","78,924","20,128"
669,47157,Shelby County,TN,937166,"435,472","480,899","228,437","687,934","137,972"
670,47163,Sullivan County,TN,158348,"79,108","81,712","30,534","130,286","35,623"
671,47165,Sumner County,TN,191283,"99,320","104,538","46,310","157,548","34,541"
672,47179,Washington County,TN,129375,"67,214","68,958","24,832","111,340","26,156"
673,47187,Williamson County,TN,238412,"129,043","131,772","66,469","194,346","38,205"
674,47189,Wilson County,TN,144657,"78,441","80,114","36,560","121,995","25,089"
675,48005,Angelina County,TX,86715,"43,242","43,859","21,793","65,308","14,368"
